Year,Team,Purchase_Price_Mils
2019,Brooklyn Nets ,"2,350"
2017,Houston Rockets ,"2,200"
2015,Atlanta Hawks ,730
2014,Los Angeles Clippers ,"2,000"
2014,Milwaukee Bucks ,550
2013,Sacramento Kings ,534
2012,Toronto Raptors ,400
2012,Memphis Grizzlies ,377
2012,New Orleans Pelicans ,338
2011,Detroit Pistons ,325
2011,Philadelphia 76ers ,287
2010,Washington Wizards ,551
2010,Golden State Warriors ,450
2010,Charlotte Hornets ,175
2006,Oklahoma City Thunder ,325
2005,Cleveland Cavaliers ,375
2004,Phoenix Suns ,404
2002,Boston Celtics ,360
2000,Dallas Mavericks ,280
2000,Denver Nuggets ,202
1998,Los Angeles Lakers ,268
1997,New York Knicks ,300
1996,San Antonio Spurs ,76
1995,Minnesota Timberwolves ,89
1991,Orlando Magic ,85
1988,Portland Trail Blazers ,70
1988,Miami Heat ,33
1986,Utah Jazz ,24
1985,Chicago Bulls ,16
1983,Indiana Pacers ,11
