coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year
Lon Kruger,ATL,1,1,82,25,57,82,25,57,82,25,57,.305,,,,,,,,,,2001
Rick Pitino,BOS,4,6,34,12,22,248,102,146,412,192,220,.466,,,,,,,13,6,7,2001
Jim O'Brien,BOS,1,1,48,24,24,48,24,24,48,24,24,.500,,,,,,,,,,2001
Paul Silas,CHH,3,6,82,46,36,199,117,82,445,195,250,.438,10,6,4,14,7,7,14,7,7,2001
Tim Floyd,CHI,3,3,82,15,67,214,45,169,214,45,169,.210,,,,,,,,,,2001
Randy Wittman,CLE,2,2,82,30,52,164,62,102,164,62,102,.378,,,,,,,,,,2001
Don Nelson,DAL,4,23,82,53,29,280,128,152,1760,979,781,.556,10,4,6,10,4,6,122,55,67,2001
Dan Issel,DEN,5,5,82,40,42,362,171,191,362,171,191,.472,,,,12,6,6,12,6,6,2001
George Irvine,DET,2,5,82,32,50,106,46,60,290,100,190,.345,,,,3,0,3,3,0,3,2001
Dave Cowens,GSW,1,5,82,17,65,82,17,65,329,153,176,.465,,,,,,,12,4,8,2001
Rudy Tomjanovich,HOU,10,10,82,45,37,736,432,304,736,432,304,.587,,,,90,51,39,90,51,39,2001
Isiah Thomas,IND,1,1,82,41,41,82,41,41,82,41,41,.500,4,1,3,4,1,3,4,1,3,2001
Alvin Gentry,LAC,1,5,82,31,51,82,31,51,263,119,144,.452,,,,,,,5,2,3,2001
Phil Jackson,LAL,2,11,82,56,26,164,123,41,902,668,234,.741,16,15,1,39,30,9,191,141,50,2001
Pat Riley,MIA,6,19,82,50,32,460,293,167,1515,1049,466,.692,3,0,3,43,18,25,255,155,100,2001
George Karl,MIL,3,14,82,52,30,214,122,92,1043,625,418,.599,18,10,8,26,12,14,120,57,63,2001
Flip Saunders,MIN,6,6,82,47,35,440,227,213,440,227,213,.516,4,1,3,20,5,15,20,5,15,2001
Byron Scott,NJN,1,1,82,26,56,82,26,56,82,26,56,.317,,,,,,,,,,2001
Jeff Van Gundy,NYK,6,6,82,48,34,401,238,163,401,238,163,.594,5,2,3,69,37,32,69,37,32,2001
Doc Rivers,ORL,2,2,82,43,39,164,84,80,164,84,80,.512,4,1,3,4,1,3,4,1,3,2001
Larry Brown,PHI,4,22,82,56,26,296,164,132,1736,1017,719,.586,23,12,11,41,20,21,166,81,85,2001
Scott Skiles,PHO,2,2,82,51,31,144,91,53,144,91,53,.632,4,1,3,13,5,8,13,5,8,2001
Mike Dunleavy,POR,4,10,82,50,32,296,190,106,788,398,390,.505,3,0,3,36,18,18,59,31,28,2001
Rick Adelman,SAC,3,11,82,55,27,214,126,88,823,483,340,.587,8,3,5,18,7,11,87,43,44,2001
Gregg Popovich,SAS,5,5,82,58,24,360,221,139,360,221,139,.614,13,7,6,43,27,16,43,27,16,2001
Paul Westphal,SEA,3,7,15,6,9,147,76,71,426,267,159,.627,,,,5,2,3,49,27,22,2001
Nate McMillan,SEA,1,1,67,38,29,67,38,29,67,38,29,.567,,,,,,,,,,2001
Lenny Wilkens,TOR,1,28,82,47,35,82,47,35,2242,1226,1016,.547,12,6,6,12,6,6,169,78,91,2001
Jerry Sloan,UTA,13,16,82,53,29,1017,690,327,1232,784,448,.636,5,2,3,143,74,69,149,76,73,2001
Sidney Lowe,VAN,1,3,82,23,59,82,23,59,217,56,161,.258,,,,,,,,,,2001
Leonard Hamilton,WAS,1,1,82,19,63,82,19,63,82,19,63,.232,,,,,,,,,,2001
Lon Kruger,ATL,2,2,82,33,49,164,58,106,164,58,106,.354,,,,,,,,,,2002
Jim O'Brien,BOS,2,2,82,49,33,130,73,57,130,73,57,.562,16,9,7,16,9,7,16,9,7,2002
Paul Silas,CHH,4,7,82,44,38,281,161,120,527,239,288,.454,9,4,5,23,11,12,23,11,12,2002
Tim Floyd,CHI,4,4,25,4,21,239,49,190,239,49,190,.205,,,,,,,,,,2002
Bill Berry,CHI,1,1,2,0,2,2,0,2,2,0,2,.000,,,,,,,,,,2002
Bill Cartwright,CHI,1,1,55,17,38,55,17,38,55,17,38,.309,,,,,,,,,,2002
John Lucas,CLE,1,5,82,29,53,82,29,53,389,165,224,.424,,,,,,,14,6,8,2002
Don Nelson,DAL,5,24,82,57,25,362,185,177,1842,1036,806,.562,8,4,4,18,8,10,130,59,71,2002
Dan Issel,DEN,6,6,26,9,17,388,180,208,388,180,208,.464,,,,12,6,6,12,6,6,2002
Mike Evans,DEN,1,1,56,18,38,56,18,38,56,18,38,.321,,,,,,,,,,2002
