Rk,Team,home_games,home_total,home_avg,home_pct,road_games,road_avg,road_pct,ov_games,ov_avg,ov_pct,year,Team,Abbrev,Nickname
1,Spurs,41,"913,175","22,272",--,41,"16,690",--,82,"19,481",--,2001,San Antonio Spurs,SAS,Spurs
2,Bulls,41,"888,654","21,674",--,41,"16,336",--,82,"19,005",--,2001,Chicago Bulls,CHI,Bulls
3,Trail Blazers,41,"831,385","20,277",--,41,"17,037",--,82,"18,657",--,2001,Portland Trail Blazers,POR,Trail Blazers
4,NY Knicks,41,"810,283","19,763",--,41,"17,680",--,82,"18,721",--,2001,New York Knicks,NYK,NY Knicks
5,76ers,41,"805,692","19,651",--,41,"18,582",--,82,"19,116",--,2001,Philadelphia 76ers,PHI,76ers
6,Raptors,41,"793,256","19,347",--,41,"17,611",--,82,"18,479",--,2001,Toronto Raptors,TOR,Raptors
7,Jazz,41,"792,196","19,321",--,41,"16,989",--,82,"18,155",--,2001,Utah Jazz,UTA,Jazz
8,Lakers,41,"776,336","18,935",--,41,"19,628",--,82,"19,281",--,2001,Los Angeles Lakers,LAL,Lakers
9,Suns,41,"737,586","17,989",--,41,"17,157",--,82,"17,573",--,2001,Phoenix Suns,PHO,Suns
10,Pacers,41,"733,444","17,888",--,41,"16,508",--,82,"17,198",--,2001,Indiana Pacers,IND,Pacers
11,Timberwolves,41,"717,371","17,496",--,41,"16,787",--,82,"17,142",--,2001,Minnesota Timberwolves,MIN,Timberwolves
12,Kings,41,"709,997","17,317",--,41,"18,438",--,82,"17,877",--,2001,Sacramento Kings,SAC,Kings
13,Bucks,41,"683,125","16,661",--,41,"16,584",--,82,"16,623",--,2001,Milwaukee Bucks,MIL,Bucks
14,Mavericks,41,"680,138","16,588",--,41,"15,761",--,82,"16,175",--,2001,Dallas Mavericks,DAL,Mavericks
15,Heat,41,"677,186","16,516",--,41,"17,046",--,82,"16,781",--,2001,Miami Heat,MIA,Heat
16,Cavaliers,41,"650,775","15,872",--,41,"16,064",--,82,"15,968",--,2001,Cleveland Cavaliers,CLE,Cavaliers
17,Thunder,41,"640,847","15,630",--,41,"16,497",--,82,"16,063",--,2001,Oklahoma City Thunder,OKC,Thunder
18,Wizards,41,"638,653","15,576",--,41,"15,872",--,82,"15,724",--,2001,Washington Wizards,WAS,Wizards
19,Celtics,41,"629,201","15,346",--,41,"16,436",--,82,"15,891",--,2001,Boston Celtics,BOS,Celtics
20,Nuggets,41,"619,300","15,104",--,41,"16,403",--,82,"15,754",--,2001,Denver Nuggets,DEN,Nuggets
21,Pelicans,41,"615,424","15,010",--,41,"16,500",--,82,"15,755",--,2001,New Orleans Pelicans,NOP,Pelicans
22,Pistons,41,"607,323","14,812",--,41,"16,397",--,82,"15,604",--,2001,Detroit Pistons,DET,Pistons
23,Magic,41,"605,031","14,756",--,41,"16,810",--,82,"15,783",--,2001,Orlando Magic,ORL,Magic
24,Clippers,41,"599,448","14,620",--,41,"15,823",--,82,"15,222",--,2001,Los Angeles Clippers,LAC,Clippers
25,Warriors,41,"591,981","14,438",--,41,"16,058",--,82,"15,248",--,2001,Golden State Warriors,GSW,Warriors
26,Nets,41,"566,077","13,806",--,41,"16,085",--,82,"14,946",--,2001,Brooklyn Nets,BRK,Nets
27,Grizzlies,41,"563,218","13,737",--,41,"15,822",--,82,"14,779",--,2001,Memphis Grizzlies,MEM,Grizzlies
28,Hawks,41,"560,324","13,666",--,41,"16,403",--,82,"15,035",--,2001,Atlanta Hawks,ATL,Hawks
29,Rockets,41,"518,555","12,647",--,41,"16,714",--,82,"14,680",--,2001,Houston Rockets,HOU,Rockets
1,Spurs,41,"906,390","22,107",--,41,"17,248",125.7,82,"19,677",286.8,2002,San Antonio Spurs,SAS,Spurs
2,Wizards,41,"847,634","20,674",--,41,"19,939",121.7,82,"20,306",247.9,2002,Washington Wizards,WAS,Wizards
3,76ers,41,"842,976","20,560",100.6,41,"18,720",130.5,82,"19,640",112.9,2002,Philadelphia 76ers,PHI,76ers
4,Raptors,41,"811,135","19,783",99.9,41,"17,200",111.6,82,"18,492",105,2002,Toronto Raptors,TOR,Raptors
5,NY Knicks,41,"810,283","19,763",102.5,41,"17,082",114.2,82,"18,422",107.6,2002,New York Knicks,NYK,NY Knicks
6,Mavericks,41,"802,783","19,580",--,41,"17,049",124.3,82,"18,314",267,2002,Dallas Mavericks,DAL,Mavericks
7,Trail Blazers,41,"797,821","19,459",97.4,41,"16,483",129.3,82,"17,971",109.8,2002,Portland Trail Blazers,POR,Trail Blazers
8,Lakers,41,"778,877","18,997",98.5,41,"20,102",157.3,82,"19,549",121.9,2002,Los Angeles Lakers,LAL,Lakers
9,Bulls,41,"776,311","18,934",87.2,41,"16,000",107.9,82,"17,467",95.6,2002,Chicago Bulls,CHI,Bulls
10,Jazz,41,"766,108","18,685",93.8,41,"16,667",130.7,82,"17,676",108.2,2002,Utah Jazz,UTA,Jazz
11,Pistons,41,"760,807","18,556",84.1,41,"16,417",110.7,82,"17,486",94.8,2002,Detroit Pistons,DET,Pistons
12,Bucks,41,"745,305","18,178",97.1,41,"17,043",113.3,82,"17,610",104.3,2002,Milwaukee Bucks,MIL,Bucks
13,Clippers,41,"740,185","18,053",--,41,"16,569",120.8,82,"17,311",252.3,2002,Los Angeles Clippers,LAC,Clippers
14,Timberwolves,41,"731,673","17,845",93.9,41,"16,961",132.6,82,"17,403",109.5,2002,Minnesota Timberwolves,MIN,Timberwolves
15,Kings,41,"709,997","17,317",100,41,"17,701",137.5,82,"17,509",116,2002,Sacramento Kings,SAC,Kings
16,Pacers,41,"686,537","16,744",91.3,41,"16,677",111.1,82,"16,711",100.2,2002,Indiana Pacers,IND,Pacers
17,Suns,41,"668,939","16,315",85.8,41,"16,765",131,82,"16,540",104,2002,Phoenix Suns,PHO,Suns
18,Celtics,41,"659,751","16,091",86.4,41,"17,576",117,82,"16,833",100.1,2002,Boston Celtics,BOS,Celtics
19,Heat,41,"655,549","15,989",81.6,41,"16,702",112.5,82,"16,345",94.9,2002,Miami Heat,MIA,Heat
20,Nuggets,41,"633,846","15,459",--,41,"16,396",119.5,82,"15,928",232.2,2002,Denver Nuggets,DEN,Nuggets
21,Thunder,41,"633,516","15,451",90.5,41,"16,013",124.2,82,"15,732",105,2002,Oklahoma City Thunder,OKC,Thunder
22,Magic,41,"621,121","15,149",87.8,41,"17,345",115.6,82,"16,247",100.7,2002,Orlando Magic,ORL,Magic
23,Cavaliers,41,"596,115","14,539",70.7,41,"15,809",102.8,82,"15,174",84.4,2002,Cleveland Cavaliers,CLE,Cavaliers
24,Warriors,41,"593,182","14,467",73.8,41,"16,202",126.9,82,"15,335",94.8,2002,Golden State Warriors,GSW,Warriors
25,Grizzlies,41,"591,030","14,415",--,41,"15,841",115.5,82,"15,128",220.5,2002,Memphis Grizzlies,MEM,Grizzlies
26,Nets,41,"564,194","13,760",68.8,41,"16,403",109.7,82,"15,082",86.3,2002,Brooklyn Nets,BRK,Nets
27,Hawks,41,"506,110","12,344",--,41,"16,315",102.7,82,"14,329",180.3,2002,Atlanta Hawks,ATL,Hawks
28,Rockets,41,"481,227","11,737",--,41,"16,551",120.6,82,"14,144",206.2,2002,Houston Rockets,HOU,Rockets
29,Pelicans,41,"462,738","11,286",47.4,41,"16,457",111.5,82,"13,871",71.9,2002,New Orleans Pelicans,NOP,Pelicans
1,Pistons,41,"839,278","20,470",92.7,41,"16,053",107.4,82,"18,261",98.7,2003,Detroit Pistons,DET,Pistons
2,Wizards,41,"827,092","20,172",--,41,"19,311",120.3,82,"19,742",246,2003,Washington Wizards,WAS,Wizards
3,Mavericks,41,"816,429","19,912",--,41,"17,618",121.8,82,"18,765",259.5,2003,Dallas Mavericks,DAL,Mavericks
4,76ers,41,"807,097","19,685",96.3,41,"18,408",122,82,"19,046",107.2,2003,Philadelphia 76ers,PHI,76ers
5,Bulls,41,"804,303","19,617",90.4,41,"16,268",108.6,82,"17,942",97.8,2003,Chicago Bulls,CHI,Bulls
6,Trail Blazers,41,"796,250","19,420",97.2,41,"16,458",122,82,"17,939",107.2,2003,Portland Trail Blazers,POR,Trail Blazers
7,Jazz,41,"786,034","19,171",96.3,41,"16,585",122.9,82,"17,878",107,2003,Utah Jazz,UTA,Jazz
8,NY Knicks,41,"779,479","19,011",98.6,41,"17,104",113.5,82,"18,058",105.1,2003,New York Knicks,NYK,NY Knicks
9,Lakers,41,"777,888","18,972",98.4,41,"19,107",141.3,82,"19,040",116.1,2003,Los Angeles Lakers,LAL,Lakers
10,Raptors,41,"777,507","18,963",95.8,41,"16,509",109.7,82,"17,736",101.8,2003,Toronto Raptors,TOR,Raptors
11,Spurs,41,"735,970","17,950",97,41,"16,559",122.1,82,"17,255",107.6,2003,San Antonio Spurs,SAS,Spurs
12,Kings,41,"709,997","17,317",100,41,"17,924",131.6,82,"17,620",113.9,2003,Sacramento Kings,SAC,Kings
13,Celtics,41,"709,049","17,293",92.9,41,"17,263",111.1,82,"17,278",101.2,2003,Boston Celtics,BOS,Celtics
14,Clippers,41,"706,471","17,231",--,41,"16,276",112.5,82,"16,753",231.7,2003,Los Angeles Clippers,LAC,Clippers
15,Pacers,41,"670,461","16,352",89.1,41,"16,856",110.9,82,"16,604",99,2003,Indiana Pacers,IND,Pacers
16,Suns,41,"666,559","16,257",85.5,41,"16,318",120.6,82,"16,288",100.1,2003,Phoenix Suns,PHO,Suns
17,Bucks,41,"665,966","16,243",86.8,41,"16,327",107.8,82,"16,285",96.2,2003,Milwaukee Bucks,MIL,Bucks
18,Timberwolves,41,"643,684","15,699",82.6,41,"16,657",123.1,82,"16,178",99.4,2003,Minnesota Timberwolves,MIN,Timberwolves
19,Pelicans,41,"641,683","15,650",91,41,"16,481",105.2,82,"16,066",97.8,2003,New Orleans Pelicans,NOP,Pelicans
