TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,LOCATION
Houston Rockets,2019-20,32.0,18.0,14.0,0.563,48.5,117.2,40.5,89.2,45.4,16.1,44.8,35.9,20.1,25.2,79.9,10.1,32.8,42.9,21.0,15.5,8.6,4.8,5.3,21.7,20.8,0.7,Road
Dallas Mavericks,2019-20,33.0,21.0,12.0,0.636,48.0,116.7,41.8,90.3,46.3,15.8,42.6,37.1,17.3,22.3,77.3,10.9,36.9,47.8,24.8,12.8,6.4,5.0,3.9,19.3,20.0,6.1,Road
New Orleans Pelicans,2019-20,32.0,15.0,17.0,0.469,48.5,114.0,42.3,92.3,45.9,13.9,37.3,37.4,15.3,21.2,72.4,10.8,35.9,46.7,26.2,17.2,7.6,5.0,4.9,21.5,19.5,-2.8,Road
Minnesota Timberwolves,2019-20,32.0,11.0,21.0,0.344,48.6,115.8,41.0,90.4,45.4,13.9,39.4,35.3,19.9,26.0,76.7,9.5,33.4,42.9,23.9,15.9,8.6,5.4,5.8,21.6,22.2,-3.9,Road
Toronto Raptors,2019-20,32.0,23.0,9.0,0.719,48.3,110.1,39.5,87.8,45.0,13.4,36.8,36.3,17.6,22.2,79.5,9.5,34.8,44.3,24.7,14.8,8.8,5.1,5.8,21.7,19.9,4.2,Road
Utah Jazz,2019-20,33.0,20.0,13.0,0.606,48.2,111.2,39.8,84.0,47.4,13.4,34.6,38.6,18.2,23.5,77.4,8.9,35.1,43.9,22.2,14.7,5.9,4.4,4.5,20.2,20.2,2.0,Road
Sacramento Kings,2019-20,33.0,14.0,19.0,0.424,48.5,108.7,40.1,88.2,45.5,13.1,35.5,36.8,15.4,20.0,77.2,9.7,32.3,42.0,24.3,14.0,7.8,4.2,4.8,21.5,19.0,-1.8,Road
Milwaukee Bucks,2019-20,34.0,25.0,9.0,0.735,48.1,115.8,42.5,90.6,46.9,13.0,38.2,34.0,17.8,23.4,76.0,8.8,42.1,50.9,24.2,15.1,7.7,6.0,4.4,19.1,21.5,8.2,Road
Brooklyn Nets,2019-20,32.0,12.0,20.0,0.375,48.9,110.3,39.6,92.0,43.0,12.9,39.9,32.3,18.3,23.9,76.5,10.9,37.3,48.2,23.9,14.2,6.1,4.9,5.9,21.1,20.9,-3.0,Road
Miami Heat,2019-20,33.0,14.0,19.0,0.424,48.6,108.0,38.3,84.7,45.2,12.6,35.1,35.9,18.8,24.5,76.8,8.5,35.8,44.3,24.8,15.0,7.5,4.8,4.1,21.2,21.3,-2.7,Road
Washington Wizards,2019-20,32.0,8.0,24.0,0.25,48.2,116.2,42.1,91.1,46.3,12.6,34.1,36.9,19.3,24.5,79.0,9.7,30.5,40.3,26.1,14.2,8.2,4.4,4.9,22.7,22.7,-7.4,Road
Chicago Bulls,2019-20,31.0,8.0,23.0,0.258,48.5,107.6,39.8,88.5,45.0,12.4,35.6,34.8,15.7,20.7,75.8,9.7,30.4,40.2,23.2,14.6,10.2,3.7,5.7,21.6,18.8,-4.8,Road
Atlanta Hawks,2019-20,33.0,6.0,27.0,0.182,48.5,108.8,39.5,90.1,43.9,12.1,37.8,32.0,17.6,22.4,78.8,9.5,32.4,41.9,23.4,16.4,8.3,4.9,6.0,22.6,20.2,-13.3,Road
Charlotte Hornets,2019-20,34.0,13.0,21.0,0.382,48.4,101.6,36.9,86.2,42.8,12.1,34.8,34.7,15.8,21.0,75.1,10.9,32.1,43.1,23.5,14.0,6.7,3.8,4.9,18.7,20.3,-8.1,Road
Boston Celtics,2019-20,32.0,20.0,12.0,0.625,48.2,110.4,40.4,89.4,45.2,12.1,34.2,35.3,17.5,22.2,79.0,11.1,35.6,46.7,21.8,14.1,8.3,5.4,5.7,21.9,20.1,4.2,Road
Detroit Pistons,2019-20,33.0,9.0,24.0,0.273,48.2,105.2,38.4,85.7,44.8,11.8,32.7,35.9,16.6,22.2,75.1,9.7,31.9,41.5,23.5,15.5,7.8,4.5,6.1,19.8,19.6,-5.1,Road
LA Clippers,2019-20,32.0,19.0,13.0,0.594,48.3,114.8,41.0,89.2,46.0,11.6,32.5,35.8,21.2,26.7,79.6,10.3,36.2,46.5,23.2,14.4,7.2,4.4,4.8,22.3,22.2,4.0,Road
Philadelphia 76ers,2019-20,34.0,10.0,24.0,0.294,48.3,106.6,39.4,88.2,44.7,11.6,33.2,35.0,16.1,21.7,74.4,10.2,33.8,44.0,24.7,14.1,8.0,5.2,4.3,21.9,20.6,-5.3,Road
Portland Trail Blazers,2019-20,34.0,11.0,23.0,0.324,48.0,110.8,41.5,91.5,45.4,11.6,33.1,35.0,16.2,20.8,77.8,10.1,34.1,44.1,19.8,12.4,6.2,5.6,5.0,21.9,19.1,-4.9,Road
Denver Nuggets,2019-20,32.0,18.0,14.0,0.563,48.6,109.5,41.3,89.1,46.3,11.5,31.5,36.6,15.4,19.4,79.5,10.8,32.6,43.5,25.5,14.5,8.4,4.7,4.8,20.3,19.3,-0.2,Road
Los Angeles Lakers,2019-20,32.0,26.0,6.0,0.813,48.3,114.2,42.8,88.2,48.6,11.3,31.4,35.9,17.2,24.3,70.9,10.2,34.8,45.0,25.1,14.9,8.5,6.4,4.1,20.9,21.8,5.6,Road
Memphis Grizzlies,2019-20,32.0,14.0,18.0,0.438,48.0,111.9,42.2,90.9,46.4,11.2,31.3,35.7,16.3,21.5,75.8,10.0,36.3,46.3,26.2,15.3,7.9,5.1,6.2,21.5,19.7,-2.8,Road
Orlando Magic,2019-20,34.0,14.0,20.0,0.412,48.0,107.7,39.6,88.8,44.6,11.0,31.1,35.3,17.6,22.6,77.9,10.0,33.1,43.0,23.5,12.5,8.6,5.9,4.8,17.7,19.6,-1.5,Road
Indiana Pacers,2019-20,33.0,18.0,15.0,0.545,48.2,108.6,42.2,88.2,47.9,10.4,27.6,37.8,13.8,17.4,79.3,8.4,33.1,41.4,25.8,13.4,7.6,4.5,4.9,20.2,17.5,-0.5,Road
Cleveland Cavaliers,2019-20,29.0,8.0,21.0,0.276,48.3,104.8,39.7,87.4,45.4,10.3,31.4,33.0,15.1,20.4,74.1,10.3,32.9,43.2,22.1,16.9,6.8,2.8,6.6,18.8,20.2,-9.6,Road
Phoenix Suns,2019-20,30.0,13.0,17.0,0.433,48.3,111.3,40.6,89.1,45.6,10.3,30.1,34.4,19.7,23.7,83.1,10.9,32.0,42.8,27.4,15.1,8.6,3.6,6.4,22.7,21.9,-3.1,Road
San Antonio Spurs,2019-20,33.0,11.0,22.0,0.333,48.3,112.9,41.8,89.1,46.9,10.3,28.6,36.2,19.0,23.6,80.4,8.3,34.8,43.2,23.4,11.1,7.3,4.9,3.8,19.1,19.4,-4.3,Road
Oklahoma City Thunder,2019-20,31.0,20.0,11.0,0.645,48.3,108.4,39.1,85.0,46.0,10.3,29.5,34.8,19.8,25.2,78.8,7.9,35.1,43.0,21.0,13.3,8.0,5.0,4.5,18.5,23.1,0.9,Road
