Team,Season,Total Roster,Wins,Losses,Team Achievement,All-Star,MVP,Avg. Age
Toronto Raptors,2019-2020,15,49,19,N/A,1,0,25.5
Utah Jazz,2019-2020,15,43,27,N/A,2,0,25.4
Brooklyn Nets,2019-2020,16,33,36,N/A,0,0,25.6
Philadelphia Sixers,2019-2020,15,42,27,N/A,1,0,25.4
Houston Rockets,2019-2020,15,43,25,N/A,1,0,29
Chicago Bulls,2019-2020,15,22,43,N/A,0,0,24
Sacramento Kings,2019-2020,15,29,40,N/A,0,0,25.5
Los Angeles Lakers,2019-2020,15,51,18,N/A,0,0,28.3
San Antonio Spurs,2019-2020,15,30,38,N/A,0,0,25.7
Los Angeles Clippers,2019-2020,15,47,22,N/A,0,0,27.2
Milwaukee Bucks,2019-2020,15,55,15,N/A,1,0,28.7
Oklahoma City Thunder,2019-2020,15,42,26,N/A,1,0,24.3
New Orleans Pelicans,2019-2020,15,30,39,N/A,1,0,24.6
Denver Nuggets,2019-2020,15,46,24,N/A,1,0,25
Washington Wizards,2019-2020,15,24,45,N/A,0,0,24.4
Atlanta Hawks,2019-2020,15,20,47,N/A,0,0,24.6
Dallas Mavericks,2019-2020,16,42,30,N/A,0,0,26.6
Memphis Grizzlies,2019-2020,15,33,37,N/A,0,0,23.5
Miami Heat,2019-2020,15,43,27,N/A,2,0,26.6
Portland Trail Blazers,2019-2020,14,32,39,N/A,1,0,25.1
Detroit Pistons,2019-2020,15,20,46,N/A,0,0,24.7
Cleveland Cavaliers,2019-2020,15,19,46,N/A,0,0,24
Orlando Magic,2019-2020,15,32,38,N/A,0,0,25.3
Charlotte Hornets,2019-2020,13,23,42,N/A,0,0,23.7
Phoenix Suns,2019-2020,15,31,39,N/A,1,0,23.5
Golden State Warriors,2019-2020,13,15,50,N/A,0,0,24.2
Minnesota Timberwolves,2019-2020,14,19,45,N/A,0,0,22.9
New York Knicks,2019-2020,15,21,45,N/A,0,0,23.9
Boston Celtics,2019-2020,15,46,23,N/A,1,0,24.3
Indiana Pacers,2019-2020,15,43,27,N/A,1,0,24.6
Toronto Raptors,2018-2019,15,58,24,NBA Champion,2,0,26.7
Memphis Grizzlies,2018-2019,16,33,49,Lottery,0,0,25.6
Golden State Warriors,2018-2019,15,57,25,NBA Finals (Loss),3,0,27.4
Boston Celtics,2018-2019,15,49,33,Second Round,1,0,25.5
Washington Wizards,2018-2019,15,32,50,Lottery,1,0,26
Indiana Pacers,2018-2019,15,48,34,First Round,1,0,25.5
Sacramento Kings,2018-2019,15,39,43,Lottery,0,0,24.5
Brooklyn Nets,2018-2019,15,42,40,First Round,1,0,24.6
Los Angeles Clippers,2018-2019,14,48,34,First Round,0,0,25.6
San Antonio Spurs,2018-2019,15,48,34,First Round,1,0,26.5
Charlotte Hornets,2018-2019,15,39,43,Lottery,1,0,25.7
Houston Rockets,2018-2019,15,53,29,Second Round,1,0,27.2
Oklahoma City Thunder,2018-2019,14,49,33,First Round,2,0,25.5
Philadelphia Sixers,2018-2019,15,51,31,Second Round,2,0,26.1
Cleveland Cavaliers,2018-2019,15,19,63,Lottery,0,0,25.8
Utah Jazz,2018-2019,15,50,32,First Round,0,0,26.6
Los Angeles Lakers,2018-2019,15,37,45,Lottery,1,0,25.5
Denver Nuggets,2018-2019,15,54,28,Second Round,1,0,23.9
Milwaukee Bucks,2018-2019,15,60,22,Conference Finals,2,1,26.9
Phoenix Suns,2018-2019,15,19,63,Lottery,0,0,23.5
Atlanta Hawks,2018-2019,15,29,53,Lottery,0,0,24.3
Dallas Mavericks,2018-2019,15,33,49,Lottery,1,0,27.5
Detroit Pistons,2018-2019,15,41,41,First Round,1,0,26.4
Minnesota Timberwolves,2018-2019,16,36,46,Lottery,1,0,26.3
Miami Heat,2018-2019,15,39,43,Lottery,1,0,26.8
Orlando Magic,2018-2019,15,42,40,First Round,1,0,24.5
Chicago Bulls,2018-2019,15,22,60,Lottery,0,0,23.5
New York Knicks,2018-2019,15,17,65,Lottery,0,0,22.9
New Orleans Pelicans,2018-2019,15,33,49,Lottery,1,0,24.5
Portland Trail Blazers,2018-2019,15,53,29,Conference Finals,1,0,24.4
Washington Wizards,2017-2018,15,43,39,First Round,2,0,27.1
Memphis Grizzlies,2017-2018,15,22,60,Lottery,0,0,25.4
Golden State Warriors,2017-2018,15,58,24,NBA Champion,4,0,27.6
Boston Celtics,2017-2018,16,55,27,Conference Finals,2,0,24.7
Cleveland Cavaliers,2017-2018,15,50,32,NBA Finals (Loss),2,0,28
