TEAM,W,L,W/L%,GB,PW,PL,PS/G,PA/G,year
Miami Heat*,52,30,0.634,0,50,32,94.4,91.3,2000
New York Knicks*,50,32,0.61,2,46,36,92.1,90.7,2000
Philadelphia 76ers*,49,33,0.598,3,45,37,94.8,93.4,2000
Orlando Magic,41,41,0.5,11,43,39,100.1,99.4,2000
Boston Celtics,35,47,0.427,17,39,43,99.3,100.1,2000
New Jersey Nets,31,51,0.378,21,38,44,98,99,2000
Washington Wizards,29,53,0.354,23,32,50,96.6,99.9,2000
Indiana Pacers*,56,26,0.683,0,54,28,101.3,96.7,2000
Charlotte Hornets*,49,33,0.598,7,49,33,98.4,95.8,2000
Toronto Raptors*,45,37,0.549,11,41,41,97.2,97.3,2000
Milwaukee Bucks*,42,40,0.512,14,42,40,101.2,101,2000
Detroit Pistons*,42,40,0.512,14,45,37,103.5,102,2000
Cleveland Cavaliers,32,50,0.39,24,31,51,97,100.5,2000
Atlanta Hawks,28,54,0.341,28,26,56,94.3,99.7,2000
Chicago Bulls,17,65,0.207,39,15,67,84.8,94.2,2000
Utah Jazz*,55,27,0.671,0,54,28,96.5,92,2000
San Antonio Spurs*,53,29,0.646,2,58,24,96.2,90.2,2000
Minnesota Timberwolves*,50,32,0.61,5,48,34,98.5,96,2000
Dallas Mavericks,40,42,0.488,15,39,43,101.4,102,2000
Denver Nuggets,35,47,0.427,20,35,47,99,101.1,2000
Houston Rockets,34,48,0.415,21,39,43,99.5,100.3,2000
Vancouver Grizzlies,22,60,0.268,33,25,57,93.9,99.5,2000
Los Angeles Lakers*,67,15,0.817,0,64,18,100.8,92.3,2000
Portland Trail Blazers*,59,23,0.72,8,59,23,97.5,91,2000
Phoenix Suns*,53,29,0.646,14,56,26,98.9,93.7,2000
Seattle SuperSonics*,45,37,0.549,22,44,38,99.1,98.1,2000
Sacramento Kings*,44,38,0.537,23,49,33,105,102,2000
Golden State Warriors,19,63,0.232,48,20,62,95.5,103.8,2000
Los Angeles Clippers,15,67,0.183,52,13,69,92,103.5,2000
Miami Heat*,52,30,0.634,0,50,32,94.4,91.3,2001
New York Knicks*,50,32,0.61,2,46,36,92.1,90.7,2001
