coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year,Abbrev,Nickname,Key,Season,Draft_Draft_Trade,Trade,Free_Agency,Total_Roster,Wins,Losses,Team_Achievement,All-Star,MVP,First_Round_Draft,Second_Plus_Round_Draft,Undrafted,Avg_Age,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Lon Kruger,ATL,1,1,82,25,57,82,25,57,82,25,57,0.305,,,,,,,,,,2001,ATL,Hawks,ATL2001,2001-2002,7.0,4.0,5.0,16.0,33.0,49.0,Lottery,1.0,0.0,10.0,3.0,3.0,25.6,82.0,18.0,64.0,3986.0,98.2,105.9,-7.7,63.4,1.42,16.6,32.9,67.5,49.4,16.5,44.6,49.3,88.97,43.7
Rick Pitino,BOS,4,6,34,12,22,248,102,146,412,192,220,0.466,,,,,,,13.0,6.0,7.0,2001,BOS,Celtics,BOS2001,2001-2002,4.0,8.0,3.0,15.0,49.0,33.0,Conference Finals,2.0,0.0,12.0,2.0,1.0,25.1,82.0,36.0,46.0,3941.0,103.4,105.7,-2.3,52.2,1.2,14.8,32.8,68.2,50.7,16.8,47.8,52.9,96.15,48.9
Jim O'Brien,BOS,1,1,48,24,24,48,24,24,48,24,24,0.5,,,,,,,,,,2001,BOS,Celtics,BOS2001,2001-2002,4.0,8.0,3.0,15.0,49.0,33.0,Conference Finals,2.0,0.0,12.0,2.0,1.0,25.1,82.0,36.0,46.0,3941.0,103.4,105.7,-2.3,52.2,1.2,14.8,32.8,68.2,50.7,16.8,47.8,52.9,96.15,48.9
Paul Silas,CHH,3,6,82,46,36,199,117,82,445,195,250,0.43799999999999994,10.0,6.0,4.0,14.0,7.0,7.0,14.0,7.0,7.0,2001,CHH,Hornets,CHH2001,2001-2002,4.0,6.0,4.0,14.0,44.0,38.0,Second Round,1.0,0.0,10.0,2.0,2.0,27.4,82.0,60.0,22.0,3946.0,108.2,102.3,5.9,67.6,1.81,19.5,26.4,69.7,48.7,15.0,52.7,56.3,94.66,54.0
Tim Floyd,CHI,3,3,82,15,67,214,45,169,214,45,169,0.21,,,,,,,,,,2001,CHI,Bulls,CHI2001,2001-2002,7.0,4.0,2.0,13.0,21.0,61.0,Lottery,0.0,0.0,8.0,3.0,2.0,24.1,82.0,30.0,52.0,3956.0,105.1,108.1,-3.0,58.0,1.52,16.4,32.2,68.7,50.3,14.9,47.5,52.7,92.14,47.8
Randy Wittman,CLE,2,2,82,30,52,164,62,102,164,62,102,0.37799999999999995,,,,,,,,,,2001,CLE,Cavaliers,CLE2001,2001-2002,6.0,7.0,2.0,15.0,29.0,53.0,Lottery,0.0,0.0,13.0,2.0,0.0,25.4,82.0,47.0,35.0,3966.0,100.5,99.1,1.4,61.2,1.27,16.4,31.7,69.1,50.6,17.8,47.1,51.7,93.41,49.8
Don Nelson,DAL,4,23,82,53,29,280,128,152,1760,979,781,0.556,10.0,4.0,6.0,10.0,4.0,6.0,122.0,55.0,67.0,2001,DAL,Mavericks,DAL2001,2001-2002,3.0,7.0,5.0,15.0,57.0,25.0,Second Round,2.0,0.0,7.0,6.0,2.0,27.8,82.0,33.0,49.0,3961.0,105.4,107.2,-1.8,56.6,1.54,16.0,26.9,68.2,47.3,14.0,49.2,53.9,94.01,47.9
Dan Issel,DEN,5,5,82,40,42,362,171,191,362,171,191,0.47200000000000003,,,,12.0,6.0,6.0,12.0,6.0,6.0,2001,DEN,Nuggets,DEN2001,2001-2002,3.0,6.0,6.0,15.0,27.0,55.0,Lottery,0.0,0.0,7.0,3.0,5.0,26.4,82.0,34.0,48.0,3981.0,103.4,105.5,-2.2,59.8,1.63,16.6,30.3,66.6,47.7,14.2,47.5,51.2,94.45,47.3
George Irvine,DET,2,5,82,32,50,106,46,60,290,100,190,0.345,,,,3.0,0.0,3.0,3.0,0.0,3.0,2001,DET,Pistons,DET2001,2001-2002,3.0,7.0,4.0,15.0,50.0,32.0,Second Round,0.0,0.0,6.0,3.0,6.0,27.5,82.0,42.0,40.0,3981.0,99.9,101.6,-1.7,64.4,1.52,17.1,29.8,70.1,49.5,15.5,46.3,51.2,90.41,49.0
Dave Cowens,GSW,1,5,82,17,65,82,17,65,329,153,176,0.465,,,,,,,12.0,4.0,8.0,2001,GSW,Warriors,GSW2001,2001-2002,5.0,8.0,1.0,14.0,21.0,61.0,Lottery,0.0,0.0,10.0,3.0,1.0,25.4,82.0,45.0,37.0,3976.0,105.9,105.1,0.8,59.4,1.4,16.9,30.5,67.1,49.4,16.5,50.1,55.1,94.61,50.5
