TEAM,YEAR,GP_home,W_home,L_home,WIN%_home,GP_road,W_road,L_road,WIN%_road
Dallas Mavericks,2019-20,34,19,15,0.559,33,21,12,0.636
Houston Rockets,2019-20,32,22,10,0.688,32,18,14,0.563
Milwaukee Bucks,2019-20,31,28,3,0.903,34,25,9,0.735
Miami Heat,2019-20,32,27,5,0.844,33,14,19,0.424
Toronto Raptors,2019-20,32,23,9,0.719,32,23,9,0.719
New Orleans Pelicans,2019-20,32,13,19,0.406,32,15,17,0.469
Portland Trail Blazers,2019-20,32,18,14,0.563,34,11,23,0.324
Utah Jazz,2019-20,31,21,10,0.677,33,20,13,0.606
Brooklyn Nets,2019-20,32,18,14,0.563,32,12,20,0.375
Boston Celtics,2019-20,32,23,9,0.719,32,20,12,0.625
Minnesota Timberwolves,2019-20,32,8,24,0.25,32,11,21,0.344
LA Clippers,2019-20,32,25,7,0.781,32,19,13,0.594
Detroit Pistons,2019-20,33,11,22,0.333,33,9,24,0.273
Sacramento Kings,2019-20,31,14,17,0.452,33,14,19,0.424
Charlotte Hornets,2019-20,31,10,21,0.323,34,13,21,0.382
Washington Wizards,2019-20,32,16,16,0.5,32,8,24,0.25
Chicago Bulls,2019-20,34,14,20,0.412,31,8,23,0.258
Phoenix Suns,2019-20,35,13,22,0.371,30,13,17,0.433
Atlanta Hawks,2019-20,34,14,20,0.412,33,6,27,0.182
Cleveland Cavaliers,2019-20,36,11,25,0.306,29,8,21,0.276
Philadelphia 76ers,2019-20,31,29,2,0.935,34,10,24,0.294
Los Angeles Lakers,2019-20,31,23,8,0.742,32,26,6,0.813
San Antonio Spurs,2019-20,30,16,14,0.533,33,11,22,0.333
Orlando Magic,2019-20,31,16,15,0.516,34,14,20,0.412
Golden State Warriors,2019-20,34,8,26,0.235,31,7,24,0.226
Memphis Grizzlies,2019-20,33,18,15,0.545,32,14,18,0.438
Oklahoma City Thunder,2019-20,33,20,13,0.606,31,20,11,0.645
Denver Nuggets,2019-20,33,25,8,0.758,32,18,14,0.563
Indiana Pacers,2019-20,32,21,11,0.656,33,18,15,0.545
New York Knicks,2019-20,33,11,22,0.333,33,10,23,0.303
Houston Rockets,1999-00,41,22,19,0.537,41,12,29,0.293
Indiana Pacers,1999-00,41,36,5,0.878,41,20,21,0.488
Sacramento Kings,1999-00,41,30,11,0.732,41,14,27,0.341
Seattle SuperSonics,1999-00,41,24,17,0.585,41,21,20,0.512
