Team,Abbrev,Nickname
Atlanta Hawks,ATL,Hawks
Boston Celtics,BOS,Celtics
Brooklyn Nets,BRK,Nets
Charlotte Bobcats,CHA,Bobcats
Charlotte Hornets,CHH,Hornets
Charlotte Hornets,CHO,Hornets
Chicago Bulls,CHI,Bulls
Cleveland Cavaliers,CLE,Cavaliers
Dallas Mavericks,DAL,Mavericks
Denver Nuggets,DEN,Nuggets
Detroit Pistons,DET,Pistons
Golden State Warriors,GSW,Warriors
Houston Rockets,HOU,Rockets
Indiana Pacers,IND,Pacers
LA Clippers,LAC,Clippers
Los Angeles Clippers,LAC,Clippers
Los Angeles Lakers,LAL,Lakers
Memphis Grizzlies,MEM,Grizzlies
Miami Heat,MIA,Heat
Milwaukee Bucks,MIL,Bucks
Minnesota Timberwolves,MIN,Timberwolves
New Jersey Nets,NJN,Nets
New Orleans Hornets,NOH,Hornets
New Orleans Pelicans,NOP,Pelicans
New Orleans/Oklahoma City Hornets,NOK,Hornets
New York Knicks,NYK,NY Knicks
Oklahoma City Thunder,OKC,Thunder
Orlando Magic,ORL,Magic
Philadelphia 76ers,PHI,76ers
Phoenix Suns,PHO,Suns
Portland Trail Blazers,POR,Trail Blazers
Sacramento Kings,SAC,Kings
San Antonio Spurs,SAS,Spurs
Seattle SuperSonics,SEA,SuperSonics
Toronto Raptors,TOR,Raptors
Utah Jazz,UTA,Jazz
Vancouver Grizzlies,VAN,Grizzlies
Washington Wizards,WAS,Wizards
